year,sex,member,covered,age,age_group,race,hisp,educ,citizen,state,weight
2009,Female,TRUE,TRUE,29,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,10664.5928
2009,Female,FALSE,FALSE,48,25-54,White,Non-Hispanic,Bachelor's degree,US native,CO,5648.594
2009,Female,FALSE,FALSE,28,25-54,White,Non-Hispanic,Bachelor's degree,US native,CO,7843.7996
2009,Female,TRUE,TRUE,41,25-54,White,Non-Hispanic,Bachelor's degree,US native,CO,6556.572
2009,Female,FALSE,FALSE,44,25-54,White,Non-Hispanic,Bachelor's degree,US native,CO,6556.572
2009,Male,FALSE,FALSE,42,25-54,White,Non-Hispanic,Associate degree,US native,CO,7925.032
2009,Female,FALSE,FALSE,52,25-54,White,Non-Hispanic,Associate degree,US native,CT,4292.5953
2009,Female,FALSE,FALSE,59,55 and over,White,Non-Hispanic,Completed high school,US native,CT,4324.838
2009,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Bachelor's degree,US native,CT,4292.5953
2009,Female,FALSE,FALSE,34,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CT,4633.5559
2009,Male,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Graduate degree,US native,CT,4560.4289
2009,Female,FALSE,FALSE,23,16-24,White,Non-Hispanic,Bachelor's degree,US native,CT,4435.2787
2009,Female,FALSE,FALSE,32,25-54,White,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",CT,3775.1822
2009,Female,FALSE,TRUE,50,25-54,White,Non-Hispanic,Graduate degree,US native,CT,4163.6511
2009,Female,FALSE,FALSE,59,55 and over,White,Non-Hispanic,Graduate degree,"Foreign-born, non-citizen",CT,4194.9253
2009,Male,FALSE,FALSE,54,25-54,White,Non-Hispanic,Associate degree,US native,CT,4233.8677
2009,Female,FALSE,FALSE,67,55 and over,White,Non-Hispanic,Bachelor's degree,US native,DE,1410.783
2009,Female,FALSE,FALSE,25,25-54,Black,Non-Hispanic,Associate degree,US native,DE,2449.3467
2009,Female,FALSE,FALSE,54,25-54,White,Non-Hispanic,Graduate degree,US native,DE,1372.1952000000001
2009,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Bachelor's degree,US native,DE,1372.1952000000001
2009,Female,TRUE,TRUE,28,25-54,White,Non-Hispanic,Bachelor's degree,US native,DC,1106.7461
2009,Female,FALSE,FALSE,54,25-54,White,Non-Hispanic,Some college,US native,FL,12135.6711
2009,Female,FALSE,FALSE,55,55 and over,Black,Non-Hispanic,Graduate degree,US native,FL,14206.7959
2009,Female,FALSE,FALSE,48,25-54,White,Non-Hispanic,Bachelor's degree,US native,FL,11650.3402
2009,Female,FALSE,FALSE,56,55 and over,White,Hispanic,Bachelor's degree,"Foreign-born, citizen",FL,11478.4531
2009,Female,FALSE,FALSE,39,25-54,Black,Non-Hispanic,Associate degree,US native,FL,13969.8649
2009,Female,FALSE,FALSE,38,25-54,Black,Non-Hispanic,Associate degree,"Foreign-born, non-citizen",FL,14117.9064
2009,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Bachelor's degree,US native,FL,12002.1052
2009,Female,FALSE,FALSE,47,25-54,Other,Non-Hispanic,Associate degree,"Foreign-born, citizen",FL,11475.8711
2009,Female,FALSE,FALSE,35,25-54,White,Non-Hispanic,Bachelor's degree,US native,FL,13450.9233
2009,Female,FALSE,FALSE,51,25-54,White,Hispanic,Associate degree,US native,FL,13155.3488
2009,Female,FALSE,FALSE,48,25-54,Black,Hispanic,Associate degree,"Foreign-born, non-citizen",FL,14037.802
2009,Male,FALSE,FALSE,62,55 and over,Black,Non-Hispanic,Associate degree,US native,GA,7811.8262
2009,Female,FALSE,FALSE,45,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",GA,11714.7529
2009,Female,FALSE,FALSE,39,25-54,Black,Non-Hispanic,Graduate degree,US native,GA,13505.808
2009,Female,TRUE,TRUE,36,25-54,White,Non-Hispanic,Graduate degree,US native,HI,1750.5293
2009,Male,FALSE,FALSE,45,25-54,White,Non-Hispanic,Associate degree,US native,ID,4120.8614
2009,Female,TRUE,TRUE,46,25-54,White,Non-Hispanic,Bachelor's degree,US native,ID,3348.0243
2009,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Graduate degree,US native,ID,3364.4707
2009,Female,FALSE,FALSE,38,25-54,White,Non-Hispanic,Bachelor's degree,US native,ID,4114.5314
2009,Male,FALSE,FALSE,31,25-54,White,Non-Hispanic,Graduate degree,US native,ID,3948.9667
2009,Female,TRUE,TRUE,42,25-54,White,Non-Hispanic,Bachelor's degree,US native,IL,9548.1221
2009,Female,TRUE,TRUE,71,55 and over,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",IL,12664.7926
2009,Female,FALSE,FALSE,57,55 and over,White,Non-Hispanic,Bachelor's degree,US native,IL,12081.0726
2009,Female,FALSE,FALSE,28,25-54,White,Non-Hispanic,Bachelor's degree,US native,IL,10858.2098
2009,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Associate degree,US native,IL,11289.9037
2009,Female,FALSE,FALSE,23,16-24,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",IL,9671.7872
2009,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Associate degree,US native,IL,10943.2089
2009,Female,FALSE,FALSE,34,25-54,White,Non-Hispanic,Associate degree,US native,IL,8837.727
2009,Female,FALSE,FALSE,38,25-54,White,Non-Hispanic,Bachelor's degree,US native,IL,9935.6886
2009,Female,FALSE,FALSE,49,25-54,White,Non-Hispanic,Associate degree,US native,IL,11032.0185
2009,Female,FALSE,FALSE,40,25-54,White,Non-Hispanic,Bachelor's degree,US native,IL,9149.9529
2009,Female,TRUE,TRUE,29,25-54,White,Non-Hispanic,Bachelor's degree,US native,IL,10879.5021
2009,Female,FALSE,FALSE,35,25-54,White,Non-Hispanic,Graduate degree,US native,IN,16693.0641
2009,Female,FALSE,FALSE,38,25-54,White,Non-Hispanic,Some college,"Foreign-born, non-citizen",IN,15845.3219
2009,Female,FALSE,FALSE,35,25-54,Other,Non-Hispanic,Bachelor's degree,US native,IA,4781.6604
2009,Female,FALSE,FALSE,50,25-54,White,Non-Hispanic,Bachelor's degree,US native,IA,4384.2032
2009,Female,TRUE,TRUE,47,25-54,White,Non-Hispanic,Associate degree,US native,IA,4209.0993
2009,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Associate degree,US native,IA,4209.0993
2009,Female,TRUE,TRUE,39,25-54,White,Non-Hispanic,Some college,US native,IA,4577.7063
2009,Male,FALSE,FALSE,38,25-54,White,Non-Hispanic,Bachelor's degree,US native,IA,4342.1771
2009,Female,TRUE,TRUE,25,25-54,White,Non-Hispanic,Bachelor's degree,US native,IA,5132.3784
2009,Female,FALSE,FALSE,45,25-54,White,Non-Hispanic,Associate degree,US native,IA,4283.4072
2009,Female,FALSE,FALSE,58,55 and over,White,Non-Hispanic,Graduate degree,US native,IA,4450.7548
2009,Female,FALSE,FALSE,48,25-54,White,Non-Hispanic,Associate degree,US native,IA,4241.1366
2009,Female,FALSE,FALSE,55,55 and over,White,Non-Hispanic,Bachelor's degree,US native,KS,5622.5705
2009,Female,FALSE,FALSE,59,55 and over,White,Non-Hispanic,Bachelor's degree,US native,KS,5622.5705
2009,Female,FALSE,FALSE,45,25-54,White,Non-Hispanic,Bachelor's degree,US native,KS,5291.402
2009,Female,FALSE,FALSE,44,25-54,White,Non-Hispanic,Bachelor's degree,US native,KY,7468.7211
2009,Female,FALSE,FALSE,50,25-54,Black,Non-Hispanic,Associate degree,US native,KY,11274.8465
2009,Male,FALSE,FALSE,61,55 and over,White,Non-Hispanic,Associate degree,US native,KY,6649.1191
2009,Female,FALSE,FALSE,32,25-54,White,Non-Hispanic,Bachelor's degree,US native,LA,12473.0538
2009,Female,FALSE,FALSE,28,25-54,Black,Non-Hispanic,Associate degree,US native,LA,11934.4634
2009,Female,FALSE,FALSE,42,25-54,White,Non-Hispanic,Associate degree,US native,ME,1998.3104
2009,Female,TRUE,TRUE,57,55 and over,White,Non-Hispanic,Associate degree,US native,ME,2004.6849
2009,Female,FALSE,FALSE,43,25-54,White,Non-Hispanic,Associate degree,US native,ME,2026.8255
2009,Female,FALSE,FALSE,60,55 and over,White,Non-Hispanic,Associate degree,US native,ME,1903.5098
2009,Female,FALSE,FALSE,51,25-54,White,Non-Hispanic,Some college,US native,ME,1989.7395
2009,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Associate degree,US native,ME,1907.3783
2009,Female,TRUE,TRUE,37,25-54,White,Non-Hispanic,Associate degree,US native,ME,2200.8755
2009,Female,FALSE,FALSE,40,25-54,White,Non-Hispanic,Associate degree,US native,ME,2026.8255
2009,Female,TRUE,TRUE,28,25-54,White,Non-Hispanic,Associate degree,US native,ME,2424.7447
2009,Female,FALSE,FALSE,48,25-54,White,Non-Hispanic,Bachelor's degree,US native,ME,1910.2698
2009,Female,FALSE,FALSE,61,55 and over,White,Non-Hispanic,Graduate degree,US native,MD,6393.5584
2009,Female,FALSE,FALSE,30,25-54,Black,Non-Hispanic,Bachelor's degree,US native,MD,7536.3255
2009,Male,FALSE,FALSE,51,25-54,Black,Non-Hispanic,Graduate degree,"Foreign-born, citizen",MD,7781.7434
2009,Female,FALSE,FALSE,50,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",MD,6386.3483
2009,Female,FALSE,FALSE,71,55 and over,White,Non-Hispanic,Associate degree,US native,MD,6021.7726
2009,Male,FALSE,FALSE,23,16-24,White,Non-Hispanic,Bachelor's degree,US native,MD,6485.2108
2009,Female,TRUE,TRUE,47,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",MD,8078.0058
2009,Female,TRUE,TRUE,64,55 and over,White,Non-Hispanic,Associate degree,US native,MA,10350.4295
2009,Female,FALSE,FALSE,38,25-54,White,Non-Hispanic,Associate degree,"Foreign-born, non-citizen",MA,14832.0457
2009,Female,FALSE,FALSE,55,55 and over,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",MA,9748.002
2009,Female,FALSE,FALSE,39,25-54,White,Non-Hispanic,Graduate degree,US native,MA,14832.0457
2009,Female,TRUE,TRUE,50,25-54,White,Non-Hispanic,Bachelor's degree,US native,MA,10855.12
2009,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",MA,11105.5156
2009,Female,FALSE,TRUE,45,25-54,White,Non-Hispanic,Graduate degree,US native,MA,11105.5156
2009,Female,TRUE,TRUE,61,55 and over,White,Non-Hispanic,Bachelor's degree,US native,MA,10384.69
2009,Female,TRUE,TRUE,44,25-54,White,Non-Hispanic,Bachelor's degree,US native,MA,13611.1331
2009,Female,FALSE,FALSE,45,25-54,White,Non-Hispanic,Bachelor's degree,US native,MA,11105.5156
2009,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Associate degree,US native,MA,10936.6554
2009,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Graduate degree,US native,MA,11654.4057
2009,Female,TRUE,TRUE,43,25-54,White,Non-Hispanic,Some college,US native,MA,12772.8754
2009,Female,FALSE,FALSE,80,55 and over,Black,Non-Hispanic,Graduate degree,US native,MI,12453.5707
2009,Female,FALSE,FALSE,60,55 and over,White,Non-Hispanic,Associate degree,US native,MI,12361.3425
2009,Female,FALSE,TRUE,58,55 and over,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",MI,13995.7037
2009,Female,FALSE,FALSE,35,25-54,White,Non-Hispanic,Graduate degree,US native,MI,12062.6495
2009,Male,FALSE,FALSE,28,25-54,White,Non-Hispanic,Associate degree,US native,MI,13291.4399
2009,Female,FALSE,FALSE,26,25-54,White,Non-Hispanic,Bachelor's degree,US native,MN,6157.7168
2009,Male,TRUE,TRUE,59,55 and over,White,Non-Hispanic,Associate degree,US native,MN,7165.3323
2009,Female,FALSE,TRUE,49,25-54,White,Non-Hispanic,Graduate degree,US native,MN,5674.6844
2009,Female,TRUE,TRUE,39,25-54,White,Non-Hispanic,Associate degree,US native,MN,5491.3391
2009,Female,TRUE,TRUE,39,25-54,White,Non-Hispanic,Associate degree,US native,MN,5491.3391
2009,Female,TRUE,TRUE,26,25-54,White,Non-Hispanic,Bachelor's degree,US native,MN,6017.9658
2009,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Associate degree,US native,MN,5923.7131
2009,Female,FALSE,FALSE,42,25-54,White,Non-Hispanic,Associate degree,US native,MN,5030.3714
2009,Female,FALSE,FALSE,54,25-54,White,Non-Hispanic,Graduate degree,US native,MN,5879.5504
2009,Female,FALSE,FALSE,33,25-54,White,Non-Hispanic,Bachelor's degree,US native,MN,4898.1498
2009,Female,FALSE,FALSE,38,25-54,White,Non-Hispanic,Associate degree,US native,MN,5462.3455
2009,Female,TRUE,TRUE,59,55 and over,White,Non-Hispanic,Associate degree,US native,MN,6061.2754
2009,Female,FALSE,FALSE,57,55 and over,White,Non-Hispanic,Associate degree,US native,MN,5960.3035
2009,Female,FALSE,FALSE,28,25-54,White,Non-Hispanic,Bachelor's degree,US native,MN,6049.9086
2009,Female,FALSE,FALSE,39,25-54,White,Non-Hispanic,Bachelor's degree,US native,MS,10613.4242
2009,Female,FALSE,FALSE,68,55 and over,Black,Non-Hispanic,Associate degree,US native,MS,8875.6355
2009,Female,FALSE,TRUE,28,25-54,White,Non-Hispanic,Associate degree,US native,MS,11598.8089
2009,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Associate degree,US native,MS,7865.3192
2009,Female,FALSE,FALSE,44,25-54,Black,Non-Hispanic,Bachelor's degree,US native,MS,8603.264
2009,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Bachelor's degree,US native,MS,8192.5266
2009,Female,FALSE,FALSE,58,55 and over,White,Non-Hispanic,Bachelor's degree,US native,MS,8353.7102
2009,Female,TRUE,TRUE,59,55 and over,Black,Non-Hispanic,Associate degree,US native,MO,11658.854
2009,Female,FALSE,FALSE,54,25-54,White,Non-Hispanic,Associate degree,US native,MO,10281.7415
2009,Female,FALSE,FALSE,41,25-54,White,Non-Hispanic,Associate degree,US native,MO,8323.3224
2009,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Completed high school,US native,MO,10079.0199
2009,Female,FALSE,FALSE,28,25-54,White,Non-Hispanic,Bachelor's degree,US native,MO,9272.1393
2009,Female,FALSE,FALSE,49,25-54,White,Non-Hispanic,Associate degree,US native,MO,9976.5683
2009,Female,FALSE,FALSE,33,25-54,White,Non-Hispanic,Bachelor's degree,US native,MT,2772.7372
2009,Female,FALSE,FALSE,46,25-54,Black,Non-Hispanic,Bachelor's degree,US native,MT,11835.7416
2009,Female,FALSE,FALSE,49,25-54,White,Non-Hispanic,Bachelor's degree,US native,NE,3163.4166
2009,Female,FALSE,FALSE,61,55 and over,White,Non-Hispanic,Bachelor's degree,US native,NE,2961.5306
2009,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Associate degree,US native,NE,2972.0479
2009,Female,FALSE,FALSE,48,25-54,White,Non-Hispanic,Bachelor's degree,US native,NE,3056.1946
2009,Female,TRUE,TRUE,50,25-54,White,Non-Hispanic,Graduate degree,US native,NV,5005.7729
2009,Female,FALSE,FALSE,49,25-54,White,Non-Hispanic,Completed high school,US native,NV,4805.8436
2009,Female,FALSE,FALSE,56,55 and over,Hawaiian/Pacific Islander,Non-Hispanic,Associate degree,"Foreign-born, citizen",NV,4895.5998
2009,Female,FALSE,FALSE,36,25-54,White,Non-Hispanic,Associate degree,US native,NH,1908.1496
2009,Female,FALSE,FALSE,33,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",NH,2632.3867
2009,Female,FALSE,FALSE,57,55 and over,White,Non-Hispanic,Completed high school,US native,NH,1657.1951
2009,Female,FALSE,FALSE,54,25-54,White,Non-Hispanic,Bachelor's degree,US native,NH,1644.8403
2009,Female,FALSE,TRUE,58,55 and over,White,Non-Hispanic,Associate degree,US native,NH,1657.1951
2009,Female,TRUE,TRUE,23,16-24,White,Non-Hispanic,Bachelor's degree,US native,NH,1922.4514
2009,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Bachelor's degree,US native,NH,1572.7583
2009,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Associate degree,US native,NH,1572.7583
2009,Female,TRUE,TRUE,53,25-54,White,Non-Hispanic,Bachelor's degree,US native,NH,1638.1871
2009,Female,FALSE,FALSE,65,55 and over,White,Non-Hispanic,Associate degree,US native,NH,1684.2548
2009,Female,TRUE,TRUE,51,25-54,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",NJ,11858.6835
2009,Female,FALSE,FALSE,28,25-54,White,Non-Hispanic,Associate degree,US native,NJ,14154.1582
2009,Female,FALSE,FALSE,42,25-54,Asian,Non-Hispanic,Some college,"Foreign-born, non-citizen",NJ,12252.1246
2009,Female,FALSE,FALSE,65,55 and over,White,Non-Hispanic,Associate degree,US native,NJ,12192.1636
2009,Female,FALSE,FALSE,59,55 and over,White,Non-Hispanic,Associate degree,US native,NJ,11947.7569
2009,Male,FALSE,FALSE,35,25-54,White,Non-Hispanic,Graduate degree,US native,NJ,12019.5299
2009,Female,FALSE,TRUE,53,25-54,American Indian (Alaskan Native),Non-Hispanic,Bachelor's degree,US native,NM,4229.4991
2009,Male,FALSE,FALSE,49,25-54,White,Non-Hispanic,Associate degree,US native,NM,6246.7596
2009,Female,TRUE,TRUE,70,55 and over,White,Non-Hispanic,Graduate degree,US native,NY,14515.7158
2009,Female,FALSE,FALSE,26,25-54,Asian,Non-Hispanic,Bachelor's degree,US native,NY,11784.5015
2009,Female,FALSE,FALSE,26,25-54,Asian,Non-Hispanic,Bachelor's degree,US native,NY,11784.5015
2009,Female,FALSE,TRUE,57,55 and over,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",NY,13149.4022
2009,Female,TRUE,TRUE,41,25-54,White,Non-Hispanic,Associate degree,US native,NY,11938.5809
2009,Female,TRUE,TRUE,35,25-54,White,Non-Hispanic,Associate degree,US native,NY,12963.785
2009,Female,FALSE,FALSE,33,25-54,White,Non-Hispanic,Bachelor's degree,US native,NY,11600.2527
2009,Female,FALSE,FALSE,51,25-54,White,Non-Hispanic,Completed high school,US native,NY,11050.7015
2009,Female,FALSE,FALSE,34,25-54,White,Non-Hispanic,Graduate degree,US native,NY,11624.7794
2009,Female,FALSE,FALSE,41,25-54,White,Non-Hispanic,Bachelor's degree,US native,NY,11938.5809
2009,Female,TRUE,TRUE,45,25-54,White,Non-Hispanic,Associate degree,US native,NY,10586.9551
2009,Female,FALSE,FALSE,36,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",NY,12079.6307
2009,Female,FALSE,FALSE,80,55 and over,White,Non-Hispanic,Associate degree,US native,NY,11665.9363
2009,Female,TRUE,TRUE,62,55 and over,White,Non-Hispanic,Associate degree,US native,NY,10611.3111
2009,Female,TRUE,TRUE,27,25-54,White,Non-Hispanic,Associate degree,US native,NY,14252.3047
2009,Female,FALSE,FALSE,48,25-54,White,Non-Hispanic,Some college,US native,NY,10648.9953
2009,Female,FALSE,FALSE,43,25-54,Black,Non-Hispanic,Bachelor's degree,US native,NC,16106.6262
2009,Female,FALSE,FALSE,53,25-54,Black,Non-Hispanic,Graduate degree,US native,NC,11782.7361
2009,Female,FALSE,FALSE,48,25-54,White,Non-Hispanic,Bachelor's degree,US native,NC,12595.2122
2009,Female,TRUE,TRUE,47,25-54,White,Non-Hispanic,Bachelor's degree,US native,NC,12882.6354
2009,Female,FALSE,FALSE,28,25-54,White,Non-Hispanic,Bachelor's degree,US native,NC,16970.977
2009,Female,FALSE,FALSE,45,25-54,White,Non-Hispanic,Associate degree,US native,NC,12882.6354
2009,Female,FALSE,FALSE,29,25-54,White,Non-Hispanic,Bachelor's degree,US native,ND,1330.2412
2009,Female,FALSE,FALSE,42,25-54,White,Non-Hispanic,Associate degree,US native,ND,1111.9384
2009,Female,FALSE,FALSE,31,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",ND,1057.7673
2009,Female,FALSE,FALSE,24,16-24,White,Non-Hispanic,Associate degree,US native,ND,1316.4528
2009,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Bachelor's degree,US native,ND,1626.1442
2009,Female,FALSE,FALSE,26,25-54,White,Non-Hispanic,Associate degree,US native,ND,1376.702
2009,Female,TRUE,TRUE,61,55 and over,White,Non-Hispanic,Bachelor's degree,US native,OH,12089.5417
2009,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Associate degree,US native,OH,11316.9791
2009,Female,FALSE,FALSE,33,25-54,White,Non-Hispanic,Associate degree,US native,OH,10950.3411
2009,Female,FALSE,FALSE,39,25-54,White,Non-Hispanic,Associate degree,US native,OH,12211.6612
2009,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Graduate degree,US native,OH,11316.9791
2009,Female,FALSE,FALSE,50,25-54,White,Non-Hispanic,Graduate degree,US native,OH,11055.9563
2009,Female,FALSE,FALSE,57,55 and over,White,Non-Hispanic,Bachelor's degree,US native,OH,11876.3208
2009,Female,FALSE,FALSE,50,25-54,White,Non-Hispanic,Associate degree,US native,OH,11663.6146
2009,Female,FALSE,FALSE,45,25-54,White,Non-Hispanic,Bachelor's degree,US native,OH,11316.9791
2009,Female,FALSE,FALSE,38,25-54,White,Non-Hispanic,Associate degree,US native,OH,11777.7297
2009,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Graduate degree,US native,OK,8529.273
2009,Female,FALSE,FALSE,29,25-54,White,Non-Hispanic,Bachelor's degree,US native,OR,10731.8711
2009,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Associate degree,US native,OR,7504.9169
2009,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Bachelor's degree,US native,OR,7561.2881
2009,Female,FALSE,FALSE,33,25-54,White,Non-Hispanic,Bachelor's degree,US native,OR,8422.9947
2009,Male,TRUE,TRUE,53,25-54,White,Non-Hispanic,Bachelor's degree,US native,OR,7777.7233
2009,Female,TRUE,TRUE,65,55 and over,White,Non-Hispanic,Bachelor's degree,US native,OR,7440.4451
2009,Female,FALSE,FALSE,40,25-54,White,Non-Hispanic,Associate degree,US native,OR,8645.848
2009,Female,FALSE,FALSE,28,25-54,White,Non-Hispanic,Associate degree,US native,PA,13799.945
2009,Female,TRUE,TRUE,50,25-54,White,Non-Hispanic,Associate degree,"Foreign-born, citizen",PA,11124.8966
2009,Female,TRUE,TRUE,42,25-54,White,Non-Hispanic,Bachelor's degree,US native,PA,10420.0382
2009,Male,FALSE,FALSE,23,16-24,White,Non-Hispanic,Completed high school,US native,PA,15321.863
2009,Female,FALSE,FALSE,51,25-54,White,Non-Hispanic,Associate degree,US native,PA,11179.6715
2009,Female,FALSE,FALSE,36,25-54,White,Non-Hispanic,Associate degree,US native,PA,11314.8401
2009,Female,FALSE,FALSE,55,55 and over,White,Non-Hispanic,Associate degree,US native,PA,11263.6447
2009,Female,FALSE,FALSE,35,25-54,American Indian (Alaskan Native),Non-Hispanic,Associate degree,US native,PA,11810.0246
2009,Female,TRUE,TRUE,52,25-54,White,Non-Hispanic,Associate degree,US native,PA,10522.9548
2009,Female,FALSE,FALSE,33,25-54,White,Non-Hispanic,Associate degree,US native,PA,9597.1668
2009,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Associate degree,US native,PA,10102.6707
2009,Female,FALSE,FALSE,23,16-24,White,Non-Hispanic,Bachelor's degree,US native,PA,11978.9123
2009,Female,FALSE,FALSE,23,16-24,White,Non-Hispanic,Some college,US native,PA,11424.5411
2009,Female,TRUE,TRUE,59,55 and over,White,Non-Hispanic,Associate degree,US native,RI,1908.5691
2009,Female,FALSE,FALSE,36,25-54,White,Non-Hispanic,Associate degree,US native,RI,2182.5884
2009,Male,FALSE,FALSE,46,25-54,White,Non-Hispanic,Bachelor's degree,US native,RI,1729.9018
2009,Female,FALSE,TRUE,41,25-54,White,Non-Hispanic,Bachelor's degree,US native,RI,2009.9846
2009,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Bachelor's degree,US native,SC,9132.4199
2009,Female,FALSE,FALSE,46,25-54,Black,Non-Hispanic,Bachelor's degree,US native,SC,8194.4945
