year,sex,member,covered,age,age_group,race,hisp,educ,citizen,state,weight
2017,Female,FALSE,FALSE,25,25-54,White,Non-Hispanic,Some college,US native,AL,879.02495
2017,Female,FALSE,FALSE,57,55 and over,White,Non-Hispanic,Associate degree,US native,AL,661.50698
2017,Female,FALSE,FALSE,50,25-54,White,Non-Hispanic,Some college,US native,AL,751.53616
2017,Female,FALSE,FALSE,23,16-24,White,Non-Hispanic,Graduate degree,US native,AL,618.8461
2017,Female,FALSE,FALSE,22,16-24,White,Non-Hispanic,Graduate degree,US native,AL,618.8461
2016,Female,FALSE,FALSE,33,25-54,Black,Non-Hispanic,Associate degree,US native,AL,1062.87765
2017,Male,FALSE,FALSE,34,25-54,White,Non-Hispanic,Bachelor's degree,US native,AL,577.0539
2016,Male,FALSE,FALSE,33,25-54,White,Non-Hispanic,Bachelor's degree,US native,AL,770.35837
2016,Female,FALSE,FALSE,41,25-54,Black,Non-Hispanic,Bachelor's degree,US native,AL,914.2317300000001
2016,Female,FALSE,FALSE,61,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AL,667.83416
2015,Female,FALSE,FALSE,60,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AL,619.8659399999999
2016,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Associate degree,US native,AL,537.33774
2017,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Associate degree,US native,AL,576.8520000000001
2016,Female,FALSE,FALSE,33,25-54,White,Non-Hispanic,Associate degree,US native,AL,701.19867
2015,Female,FALSE,FALSE,71,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AL,766.50274
2016,Female,FALSE,FALSE,58,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AL,705.31804
2010,Female,FALSE,FALSE,44,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",GA,1455.63816
2014,Female,FALSE,FALSE,64,55 and over,White,Non-Hispanic,Associate degree,US native,NH,210.86140999999998
2015,Female,FALSE,FALSE,65,55 and over,White,Non-Hispanic,Some college,US native,NH,182.56327000000002
2014,Female,TRUE,TRUE,51,25-54,White,Non-Hispanic,Bachelor's degree,US native,AL,650.54758
2012,Female,FALSE,FALSE,25,25-54,White,Hispanic,Associate degree,US native,CA,1132.93053
2010,Female,FALSE,FALSE,32,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",CA,876.93382
2015,Male,FALSE,FALSE,54,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,182.31515
2016,Male,FALSE,FALSE,55,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AK,157.98415
2016,Male,TRUE,TRUE,57,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AK,206.53924999999998
2014,Female,TRUE,TRUE,44,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,186.33759
2016,Female,TRUE,TRUE,47,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,145.73972
2017,Female,FALSE,FALSE,48,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,191.06302
2016,Female,TRUE,TRUE,51,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,140.64526
2016,Female,TRUE,TRUE,38,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,123.33381
2015,Male,FALSE,FALSE,39,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,150.79670000000002
2015,Female,TRUE,TRUE,37,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,143.98234
2016,Male,FALSE,FALSE,41,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,149.15555
2017,Female,FALSE,FALSE,61,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AK,163.40753
2016,Female,FALSE,FALSE,61,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AK,153.09226
2017,Female,FALSE,FALSE,62,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AK,154.74304999999998
2017,Female,FALSE,FALSE,52,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,204.51816
2016,Female,FALSE,FALSE,51,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,197.95395000000002
2014,Female,TRUE,TRUE,52,25-54,White,Non-Hispanic,Bachelor's degree,US native,CO,804.63698
2012,Female,FALSE,FALSE,69,55 and over,White,Non-Hispanic,No high school,US native,NY,1175.94958
2014,Female,TRUE,TRUE,58,55 and over,White,Non-Hispanic,Associate degree,US native,CO,1216.12117
2015,Female,TRUE,TRUE,59,55 and over,White,Non-Hispanic,Associate degree,US native,CO,1143.34296
2014,Female,FALSE,FALSE,43,25-54,White,Non-Hispanic,Bachelor's degree,US native,AK,164.55601
2016,Female,TRUE,TRUE,38,25-54,White,Non-Hispanic,Graduate degree,US native,CT,968.14144
2009,Female,FALSE,FALSE,27,25-54,White,Non-Hispanic,Associate degree,US native,TX,1287.99719
2017,Female,FALSE,FALSE,34,25-54,White,Non-Hispanic,Bachelor's degree,US native,TN,1140.89133
2016,Female,FALSE,FALSE,33,25-54,White,Non-Hispanic,Bachelor's degree,US native,TN,1062.2794
2015,Female,FALSE,FALSE,70,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AZ,1401.77937
2015,Female,FALSE,FALSE,30,25-54,Asian,Non-Hispanic,Associate degree,"Foreign-born, citizen",AZ,1260.33816
2015,Female,FALSE,FALSE,49,25-54,White,Non-Hispanic,Completed high school,US native,AZ,1564.92213
2016,Male,FALSE,FALSE,51,25-54,White,Non-Hispanic,Graduate degree,US native,AZ,1258.90923
2014,Female,FALSE,FALSE,52,25-54,White,Non-Hispanic,Bachelor's degree,US native,AZ,1220.54022
2015,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Bachelor's degree,US native,AZ,1086.24459
2016,Female,FALSE,FALSE,61,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AZ,1012.7081599999999
2017,Female,FALSE,FALSE,58,55 and over,White,Non-Hispanic,Graduate degree,US native,AZ,1608.42602
2015,Female,FALSE,FALSE,37,25-54,Other,Hispanic,Bachelor's degree,US native,AZ,2333.76443
2015,Female,FALSE,FALSE,61,55 and over,White,Non-Hispanic,Associate degree,US native,AZ,1007.90525
2016,Female,FALSE,FALSE,62,55 and over,White,Non-Hispanic,Associate degree,US native,AZ,985.4375299999999
2016,Female,FALSE,FALSE,31,25-54,White,Non-Hispanic,Associate degree,US native,AZ,1261.90471
2015,Female,FALSE,FALSE,27,25-54,White,Non-Hispanic,Bachelor's degree,US native,AZ,1178.5584800000001
2016,Female,FALSE,FALSE,28,25-54,White,Non-Hispanic,Bachelor's degree,US native,AZ,1104.13328
2015,Female,FALSE,FALSE,39,25-54,White,Hispanic,Some college,US native,AZ,1140.87441
2017,Female,FALSE,FALSE,34,25-54,Asian,Non-Hispanic,Bachelor's degree,US native,AZ,1592.02497
2016,Female,FALSE,FALSE,33,25-54,Asian,Non-Hispanic,Bachelor's degree,US native,AZ,954.80069
2017,Female,FALSE,FALSE,32,25-54,White,Non-Hispanic,Graduate degree,US native,AZ,1187.06283
2017,Female,FALSE,FALSE,67,55 and over,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",AZ,1232.83646
2016,Female,FALSE,FALSE,66,55 and over,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",AZ,1294.2330900000002
2015,Female,FALSE,FALSE,44,25-54,White,Non-Hispanic,Bachelor's degree,US native,AZ,1254.7976199999998
2017,Female,FALSE,FALSE,45,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",AZ,1004.4105999999999
2017,Female,FALSE,FALSE,26,25-54,White,Non-Hispanic,Bachelor's degree,US native,AZ,1764.2201799999998
2016,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Associate degree,US native,AZ,1445.2594199999999
2017,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Bachelor's degree,US native,AZ,1383.65876
2016,Female,FALSE,FALSE,64,55 and over,White,Non-Hispanic,Associate degree,US native,AZ,1345.70659
2015,Female,FALSE,FALSE,63,55 and over,White,Non-Hispanic,Associate degree,US native,AZ,1127.01399
2017,Female,FALSE,FALSE,48,25-54,White,Non-Hispanic,Associate degree,US native,AZ,1384.7019500000001
2016,Female,FALSE,FALSE,47,25-54,White,Non-Hispanic,Associate degree,US native,AZ,1423.38629
2015,Female,FALSE,FALSE,54,25-54,White,Non-Hispanic,Associate degree,US native,PA,1112.81093
2016,Female,FALSE,FALSE,55,55 and over,White,Non-Hispanic,Associate degree,US native,PA,1061.4456500000001
2017,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Bachelor's degree,US native,TX,1241.36868
2016,Female,FALSE,FALSE,52,25-54,White,Non-Hispanic,Bachelor's degree,US native,TX,1378.6673500000002
2016,Female,FALSE,FALSE,39,25-54,White,Non-Hispanic,Some college,US native,AR,498.20763
2015,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Some college,US native,AR,405.70770000000005
2015,Female,FALSE,FALSE,30,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,440.38879
2014,Female,FALSE,FALSE,30,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,488.36244999999997
2014,Female,FALSE,FALSE,36,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,475.3283
2015,Female,FALSE,FALSE,37,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,434.01745
2017,Female,FALSE,FALSE,65,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AR,411.84304000000003
2016,Female,FALSE,FALSE,64,55 and over,White,Non-Hispanic,Associate degree,US native,AR,384.79463999999996
2016,Female,FALSE,FALSE,43,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,448.87075000000004
2017,Female,FALSE,FALSE,44,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,451.11268
2016,Female,FALSE,FALSE,48,25-54,Black,Non-Hispanic,Bachelor's degree,US native,AR,657.56376
2015,Female,FALSE,FALSE,51,25-54,White,Non-Hispanic,Associate degree,US native,AR,393.29021
2017,Female,FALSE,FALSE,46,25-54,White,Non-Hispanic,Associate degree,US native,AR,433.44377999999995
2017,Female,FALSE,FALSE,22,16-24,White,Non-Hispanic,Associate degree,US native,AR,562.0065400000001
2015,Female,FALSE,FALSE,51,25-54,American Indian (Alaskan Native),Non-Hispanic,Bachelor's degree,US native,AR,573.83972000000006
2016,Female,FALSE,FALSE,30,25-54,White,Non-Hispanic,Associate degree,US native,AR,526.13914
2017,Female,FALSE,FALSE,57,55 and over,White,Non-Hispanic,Bachelor's degree,US native,AR,439.1385
2016,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Associate degree,US native,AR,533.43488
2016,Female,FALSE,FALSE,30,25-54,White,Non-Hispanic,Associate degree,US native,AR,497.63406999999995
2017,Female,FALSE,FALSE,42,25-54,White,Non-Hispanic,Graduate degree,US native,AR,485.33221999999995
2017,Female,FALSE,FALSE,25,25-54,White,Non-Hispanic,Associate degree,US native,AR,545.67493
2015,Female,FALSE,FALSE,43,25-54,White,Non-Hispanic,Associate degree,US native,AR,525.4434100000001
2016,Female,FALSE,FALSE,39,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,461.10944
2017,Female,FALSE,FALSE,40,25-54,White,Non-Hispanic,Bachelor's degree,US native,AR,433.82882
2017,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Associate degree,US native,AR,479.58317999999997
2015,Female,FALSE,FALSE,32,25-54,White,Non-Hispanic,Associate degree,US native,AR,425.49903000000006
2017,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Some college,US native,AR,447.07025000000004
2014,Female,TRUE,TRUE,61,55 and over,Asian,Non-Hispanic,Graduate degree,"Foreign-born, citizen",CA,1347.6795200000001
2015,Female,TRUE,TRUE,62,55 and over,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1235.19019
2015,Female,TRUE,TRUE,38,25-54,White,Non-Hispanic,Bachelor's degree,US native,CA,977.01747
2015,Female,TRUE,TRUE,36,25-54,White,Hispanic,Associate degree,US native,CA,1407.4632900000001
2015,Female,TRUE,TRUE,54,25-54,White,Hispanic,Some college,US native,CA,1448.8202999999999
2015,Female,FALSE,FALSE,54,25-54,White,Non-Hispanic,Associate degree,US native,CA,1222.11697
2014,Female,FALSE,FALSE,53,25-54,White,Non-Hispanic,Associate degree,US native,CA,1241.29078
2014,Female,TRUE,TRUE,36,25-54,White,Hispanic,Bachelor's degree,US native,CA,1156.98343
2015,Female,FALSE,FALSE,37,25-54,White,Hispanic,Bachelor's degree,US native,CA,1450.2666199999999
2016,Female,TRUE,TRUE,62,55 and over,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1455.5334699999999
2015,Female,TRUE,TRUE,61,55 and over,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1287.65993
2016,Female,TRUE,TRUE,29,25-54,Asian,Non-Hispanic,Bachelor's degree,US native,CA,1464.20703
2015,Female,TRUE,TRUE,28,25-54,Asian,Non-Hispanic,Bachelor's degree,US native,CA,1371.55638
2015,Female,FALSE,FALSE,40,25-54,White,Non-Hispanic,Associate degree,US native,CA,1265.02622
2014,Female,TRUE,TRUE,39,25-54,White,Non-Hispanic,Associate degree,US native,CA,1218.7689599999999
2016,Female,FALSE,FALSE,43,25-54,White,Non-Hispanic,Some college,US native,CA,1362.23667
2017,Female,FALSE,FALSE,49,25-54,White,Hispanic,Associate degree,US native,CA,1611.2096
2016,Female,FALSE,FALSE,48,25-54,White,Hispanic,Associate degree,US native,CA,1282.56093
2015,Female,TRUE,TRUE,57,55 and over,White,Non-Hispanic,Associate degree,US native,CA,1173.0933
2014,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Associate degree,US native,CA,1105.54324
2016,Female,FALSE,FALSE,47,25-54,Asian,Non-Hispanic,Graduate degree,US native,CA,1335.4577199999999
2017,Female,FALSE,FALSE,54,25-54,White,Non-Hispanic,Associate degree,US native,CA,1358.21284
2017,Female,FALSE,TRUE,46,25-54,Black,Non-Hispanic,Completed high school,"Foreign-born, citizen",CA,1417.1085600000001
2017,Female,TRUE,TRUE,32,25-54,White,Non-Hispanic,Bachelor's degree,US native,CA,1271.91817
2017,Female,TRUE,TRUE,71,55 and over,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1050.22042
2016,Female,TRUE,TRUE,70,55 and over,White,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1079.57326
2016,Female,TRUE,TRUE,56,55 and over,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1386.6575500000001
2017,Female,TRUE,TRUE,52,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1371.28248
2017,Female,FALSE,FALSE,34,25-54,White,Hispanic,Associate degree,"Foreign-born, citizen",CA,1336.96316
2015,Female,FALSE,FALSE,30,25-54,White,Non-Hispanic,Associate degree,US native,CA,1228.38049
2017,Female,FALSE,FALSE,50,25-54,Asian,Non-Hispanic,Associate degree,"Foreign-born, citizen",CA,1371.28248
2016,Female,FALSE,FALSE,62,55 and over,White,Non-Hispanic,Bachelor's degree,US native,CA,1289.7253500000002
2017,Female,FALSE,FALSE,63,55 and over,White,Non-Hispanic,Associate degree,US native,CA,1422.98216
2017,Female,TRUE,TRUE,61,55 and over,White,Non-Hispanic,Associate degree,"Foreign-born, citizen",CA,1312.2556200000001
2015,Female,FALSE,FALSE,47,25-54,Black,Non-Hispanic,Graduate degree,US native,CA,1031.30574
2016,Male,FALSE,FALSE,50,25-54,White,Hispanic,Bachelor's degree,US native,CA,1442.92655
2016,Female,TRUE,TRUE,24,16-24,White,Non-Hispanic,Associate degree,US native,CA,1307.52907
2016,Male,TRUE,TRUE,39,25-54,Asian,Hispanic,Associate degree,US native,CA,2058.4799
2015,Female,FALSE,FALSE,65,55 and over,White,Non-Hispanic,Bachelor's degree,US native,CA,1001.98613
2017,Female,TRUE,TRUE,63,55 and over,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1574.1029800000001
2015,Male,FALSE,FALSE,31,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1511.54617
2016,Male,FALSE,FALSE,32,25-54,Asian,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1326.16502
2017,Female,TRUE,TRUE,49,25-54,Asian,Non-Hispanic,Graduate degree,"Foreign-born, citizen",CA,1234.7487800000001
2017,Female,TRUE,TRUE,30,25-54,Hawaiian/Pacific Islander,Non-Hispanic,Bachelor's degree,"Foreign-born, citizen",CA,1507.33169
2017,Female,TRUE,TRUE,52,25-54,White,Non-Hispanic,Graduate degree,US native,CA,1354.76891
2016,Female,FALSE,FALSE,51,25-54,White,Non-Hispanic,Graduate degree,US native,CA,1301.47704
2016,Female,FALSE,FALSE,25,25-54,White,Non-Hispanic,Bachelor's degree,US native,CA,1291.99743
2016,Female,FALSE,FALSE,25,25-54,White,Non-Hispanic,Bachelor's degree,US native,CA,1291.99743
2016,Female,FALSE,FALSE,62,55 and over,White,Non-Hispanic,Bachelor's degree,US native,CA,1348.7630199999999
2017,Female,FALSE,FALSE,41,25-54,Black,Non-Hispanic,Bachelor's degree,US native,CA,1767.7672200000002
2016,Female,FALSE,FALSE,38,25-54,White,Hispanic,Associate degree,US native,CA,1022.0092099999999
2009,Female,FALSE,FALSE,38,25-54,White,Non-Hispanic,Associate degree,US native,CA,1149.59208
2014,Male,FALSE,FALSE,39,25-54,Asian,Non-Hispanic,Associate degree,US native,CA,1778.8543699999998
2013,Male,FALSE,FALSE,38,25-54,Asian,Non-Hispanic,Associate degree,US native,CA,1101.19663
2016,Male,TRUE,TRUE,47,25-54,Asian,Non-Hispanic,Associate degree,US native,CA,1778.64608
2015,Female,TRUE,TRUE,79,55 and over,Asian,Non-Hispanic,Associate degree,US native,CA,1398.11316
2016,Female,TRUE,TRUE,40,25-54,Asian,Non-Hispanic,Associate degree,US native,CA,1548.3331899999998
2016,Female,TRUE,TRUE,23,16-24,Asian,Non-Hispanic,Some college,US native,CA,1417.32268
2015,Female,TRUE,TRUE,34,25-54,Asian,Non-Hispanic,Some college,US native,CA,1157.79886
2015,Male,FALSE,FALSE,33,25-54,Asian,Non-Hispanic,Bachelor's degree,US native,CA,1061.6005499999999
2012,Female,FALSE,FALSE,29,25-54,Black,Non-Hispanic,Associate degree,US native,NC,1739.5999800000002
2015,Female,FALSE,FALSE,38,25-54,White,Non-Hispanic,Associate degree,US native,CA,1324.74828
2014,Female,FALSE,FALSE,27,25-54,White,Hispanic,Bachelor's degree,US native,CA,1126.70625
2016,Female,FALSE,FALSE,56,55 and over,White,Non-Hispanic,Graduate degree,"Foreign-born, citizen",CO,1580.52271
2015,Female,FALSE,FALSE,30,25-54,White,Non-Hispanic,Graduate degree,US native,CO,1413.92951
2015,Female,FALSE,FALSE,25,25-54,White,Non-Hispanic,Bachelor's degree,US native,CO,1557.5435499999999
2016,Female,FALSE,FALSE,25,25-54,White,Non-Hispanic,Bachelor's degree,US native,CO,1394.20611
2015,Female,FALSE,FALSE,62,55 and over,White,Non-Hispanic,Bachelor's degree,US native,CO,1222.72058
2016,Female,FALSE,FALSE,63,55 and over,White,Non-Hispanic,Bachelor's degree,US native,CO,1288.46206
2016,Female,TRUE,TRUE,44,25-54,Black,Non-Hispanic,Associate degree,US native,CO,1853.27679
2015,Female,FALSE,FALSE,44,25-54,White,Non-Hispanic,Associate degree,US native,CO,1214.78498
2016,Female,FALSE,FALSE,45,25-54,White,Non-Hispanic,Associate degree,US native,CO,1462.3621699999999
2016,Male,FALSE,FALSE,32,25-54,White,Non-Hispanic,Bachelor's degree,US native,CO,1409.19384
2015,Male,FALSE,FALSE,31,25-54,White,Non-Hispanic,Bachelor's degree,US native,CO,1277.97516
2016,Female,FALSE,FALSE,35,25-54,White,Non-Hispanic,Bachelor's degree,US native,CO,1491.9628699999998
2015,Female,FALSE,FALSE,34,25-54,White,Non-Hispanic,Bachelor's degree,US native,CO,1299.0054599999999
2017,Female,FALSE,FALSE,51,25-54,White,Non-Hispanic,Some college,US native,CO,1458.7731900000001
2016,Male,FALSE,FALSE,42,25-54,White,Non-Hispanic,Associate degree,US native,CO,1499.89084
2016,Female,FALSE,FALSE,39,25-54,White,Non-Hispanic,Associate degree,US native,CO,1372.96334
2017,Female,FALSE,FALSE,60,55 and over,White,Non-Hispanic,Graduate degree,US native,CO,1384.53804
2017,Female,FALSE,FALSE,69,55 and over,White,Non-Hispanic,Bachelor's degree,US native,CO,1052.06473
2016,Male,FALSE,FALSE,28,25-54,Black,Non-Hispanic,Bachelor's degree,"Foreign-born, non-citizen",CO,2063.21865
2015,Male,TRUE,TRUE,25,25-54,White,Hispanic,Bachelor's degree,US native,CA,1685.5469
2016,Male,FALSE,TRUE,27,25-54,White,Hispanic,Bachelor's degree,US native,CA,1592.63923
2014,Female,FALSE,FALSE,34,25-54,White,Non-Hispanic,Bachelor's degree,US native,CA,1049.60944
2013,Female,FALSE,FALSE,34,25-54,White,Non-Hispanic,Bachelor's degree,US native,CA,1022.4821599999999
2011,Female,TRUE,TRUE,37,25-54,White,Non-Hispanic,Bachelor's degree,US native,MN,594.7392600000001
2010,Female,FALSE,FALSE,35,25-54,White,Non-Hispanic,Bachelor's degree,US native,MN,639.50068
2012,Female,FALSE,FALSE,31,25-54,White,Non-Hispanic,Graduate degree,US native,ND,177.59985
2013,Female,FALSE,FALSE,32,25-54,White,Non-Hispanic,Graduate degree,US native,ND,154.04509000000002
2014,Female,FALSE,FALSE,28,25-54,White,Non-Hispanic,Bachelor's degree,US native,ND,246.21832
2009,Female,FALSE,FALSE,37,25-54,White,Non-Hispanic,Bachelor's degree,US native,WI,799.82988
2010,Female,FALSE,FALSE,59,55 and over,White,Non-Hispanic,Associate degree,US native,WI,748.33722
2014,Female,FALSE,FALSE,35,25-54,White,Non-Hispanic,Bachelor's degree,US native,WI,1091.64732
2013,Female,FALSE,FALSE,34,25-54,White,Non-Hispanic,Bachelor's degree,US native,WI,917.2679899999999
2009,Female,FALSE,FALSE,58,55 and over,White,Non-Hispanic,Associate degree,US native,WI,716.09968
2015,Female,TRUE,TRUE,28,25-54,White,Non-Hispanic,Graduate degree,US native,CT,1297.3067999999998
2015,Female,TRUE,TRUE,47,25-54,White,Non-Hispanic,Bachelor's degree,US native,CT,1123.84036
2016,Female,TRUE,TRUE,48,25-54,White,Non-Hispanic,Bachelor's degree,US native,CT,1171.1632100000002
2015,Female,TRUE,TRUE,45,25-54,White,Non-Hispanic,Associate degree,US native,CT,971.2449199999999
2015,Female,TRUE,TRUE,62,55 and over,White,Non-Hispanic,Bachelor's degree,US native,CT,954.0307300000001
2015,Female,FALSE,FALSE,59,55 and over,White,Non-Hispanic,Associate degree,US native,CT,1170.26808
2016,Female,FALSE,FALSE,60,55 and over,White,Non-Hispanic,Associate degree,US native,CT,1085.36676
2016,Female,TRUE,TRUE,50,25-54,White,Non-Hispanic,Bachelor's degree,US native,CT,1163.48784
2015,Female,TRUE,TRUE,48,25-54,White,Non-Hispanic,Bachelor's degree,US native,CT,1086.0981
2017,Female,FALSE,FALSE,43,25-54,White,Hispanic,Bachelor's degree,US native,CT,1083.92974
2017,Female,FALSE,FALSE,60,55 and over,White,Non-Hispanic,Graduate degree,US native,CT,1032.12755
2017,Female,FALSE,FALSE,55,55 and over,White,Non-Hispanic,Associate degree,US native,CT,993.7703100000001
